지점번호|요소|날짜/시각|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|
143|강수량 (mm)|20201004|0.0|0.0|0.0|0.1||0.0|||||||||||||||||||
143|강수량 (mm)|20201005|||||||||||||||||||||||||
143|강수량 (mm)|20201006|||||||||||||||||||||||||
143|강수량 (mm)|20201007|||||||||||||||||||||||||
143|강수량 (mm)|20201008|||||||||||||||||||||||||
143|강수량 (mm)|20201009|||||||||||||||||||||||||
143|강수량 (mm)|20201010|||||||||||||||||||||||||
143|강수량 (mm)|20201011|||||||||||||||||||||||||
143|강수량 (mm)|20201012|||||||||||||||||||||||||
143|강수량 (mm)|20201013|||||||||||||||||||||||||
143|강수량 (mm)|20201014|||||||||||||||||||||||||
143|강수량 (mm)|20201015|||||||||||||||||||||||||
143|강수량 (mm)|20201016|||||||||||||||||||||||||
143|강수량 (mm)|20201017|||||||||||||||||||||||||
143|강수량 (mm)|20201018|||||||||||||||||||||||||
143|강수량 (mm)|20201019|||||||||||||||||||||||||
143|강수량 (mm)|20201020|||||||||||||||||||||||||
143|강수량 (mm)|20201021|||||||||||||||||0.0|0.0|0.5|2.0|2.5|4.0|2.5|0.5|
143|강수량 (mm)|20201022|||||||||||||||||||||||||
143|강수량 (mm)|20201023|||||||||||||||||||||||||
143|강수량 (mm)|20201024|||||||||||||||||||||||||
143|강수량 (mm)|20201025|||||||||||||||||||||||||
143|강수량 (mm)|20201026|||||||||||||||||||||||||
143|강수량 (mm)|20201027|||||||||||||||||||||||||
143|강수량 (mm)|20201028|||||||||||||||||||||||||
143|강수량 (mm)|20201029|||||||||||||||||||||||||
143|강수량 (mm)|20201030|||||||||||||||||||||||||
143|강수량 (mm)|20201031|||||||||||||||||||||||||
143|강수량 (mm)|20201101|||||||||1.5|||1.3|||0.0|||0.1|||0.2||||
143|강수량 (mm)|20201102|||||||||||||||||||||||||
143|강수량 (mm)|20201103|||||||||||||||||||||||||
143|강수량 (mm)|20201104|||||||||||||||||||||||||
143|강수량 (mm)|20201105|||||||||||||||||||||||||
143|강수량 (mm)|20201106|||||||||||||||||||||||||
143|강수량 (mm)|20201107|||||||||||||||||||||||||
143|강수량 (mm)|20201108|||||||||||||||||||||||||
143|강수량 (mm)|20201109|||||||||||||||||||||||||
143|강수량 (mm)|20201110|||||||||||||||||||||||||
143|강수량 (mm)|20201111|||||||||||||||||||||||||
143|강수량 (mm)|20201112|||||||||||||||||||||||||
143|강수량 (mm)|20201113|||||||||||||||||||||||||
143|강수량 (mm)|20201114|||||||||||||||||||||||||
143|강수량 (mm)|20201115|||||||||||||||||||||||||
143|강수량 (mm)|20201116|||||||||||||||||||||||||
143|강수량 (mm)|20201117|||||||||||||||||||||0.0|||0.4|
143|강수량 (mm)|20201118||||||||||||||||||0.0|||0.0|||0.0|
143|강수량 (mm)|20201119|||0.0|||1.2|||5.5|||0.0|||12.3||||||||||
143|강수량 (mm)|20201120|||||||||||||||||||||||||
143|강수량 (mm)|20201121|||||||||||||||||||||||||
143|강수량 (mm)|20201122||||||0.0|||0.5|||0.9|||0.0||||||||||
143|강수량 (mm)|20201123|||||||||||||||||||||||||
143|강수량 (mm)|20201124|||||||||||||||||||||||||
143|강수량 (mm)|20201125|||||||||||||||||||||||||
143|강수량 (mm)|20201126|||||||||||||||||||||||||
143|강수량 (mm)|20201127||||||0.0|||||||||||||||||||
143|강수량 (mm)|20201128|||||||||||||||||||||||||
143|강수량 (mm)|20201129|||||||||||||||||||||||||
143|강수량 (mm)|20201130|||||||||||||||||||||||||
143|강수량 (mm)|20201201|||||||||||||||||||||||||
143|강수량 (mm)|20201202|||||||||||||||||||||||||
143|강수량 (mm)|20201203|||||||||||||||||||||||||
143|강수량 (mm)|20201204|||||||||||||||||||||||||
143|강수량 (mm)|20201205|||||||||||||||||||||||||
143|강수량 (mm)|20201206|||||||||||||||||||||||||
143|강수량 (mm)|20201207|||||||||||||||||||||||||
143|강수량 (mm)|20201208|||||||||||||||||||||||||
143|강수량 (mm)|20201209|||||||||||||||||||||||||
143|강수량 (mm)|20201210|||||||||||||||||||||||||
143|강수량 (mm)|20201211|||||||||||||||||||||||||
143|강수량 (mm)|20201212|||||||||||||||||||||||||
143|강수량 (mm)|20201213||||||||||||||||||0.0|||0.0||||
143|강수량 (mm)|20201214|||||||||||||||||||||||||
143|강수량 (mm)|20201215|||||||||||||||||||||||||
143|강수량 (mm)|20201216|||||||||||||||||||||||||
143|강수량 (mm)|20201217|||||||||||||||||||||||||
143|강수량 (mm)|20201218|||||||||||||||||||||||||
143|강수량 (mm)|20201219|||||||||||||||||||||||||
143|강수량 (mm)|20201220|||||||||||||||||||||||||
143|강수량 (mm)|20201221|||||||||||||||||||||||||
143|강수량 (mm)|20201222|||||||||||||||||||||||||
143|강수량 (mm)|20201223|||||||||||||||||||||||||
143|강수량 (mm)|20201224|||||||||||||||||||||||||
143|강수량 (mm)|20201225|||||||||||||||||||||||||
143|강수량 (mm)|20201226|||||||||||||||||||||||||
143|강수량 (mm)|20201227|||||||||||||||0.0|||1.3|||0.0||||
143|강수량 (mm)|20201228|||||||||||||||||||||||||
143|강수량 (mm)|20201229|||||||||||||||||||||0.3|||1.0|
143|강수량 (mm)|20201230|||0.2||||||||||||||||||||||
143|강수량 (mm)|20201231|||||||||||||||||||||||||
