지점번호|요소|날짜/시각|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|
281|강수량 (mm)|20190918|||||||||||||||||||||||||
281|강수량 (mm)|20190919|||||||||||||||||||||||||
281|강수량 (mm)|20190920|||||||||||||||||||||||||
281|강수량 (mm)|20190921|||||0.0|0.4|1.1|0.0|0.0|0.5|0.0|0.0|1.5|1.0|6.0|7.5|5.5|5.5|7.0|5.5|5.0|3.0|4.0|2.5|
281|강수량 (mm)|20190922|2.5|4.0|1.5|1.0|2.5|5.0|3.0|4.0|1.5|1.5|2.0|1.0|0.5|1.5|1.5|2.0|1.5|1.0|0.5|2.0|3.0|3.5|2.0|0.0|
281|강수량 (mm)|20190923||||0.5|0.0|||0.0|||||||||||||||||
281|강수량 (mm)|20190924|||||||||||||||||||||||||
281|강수량 (mm)|20190925|||||||||||||||||||||||||
281|강수량 (mm)|20190926|||||||||||||||||||||||||
281|강수량 (mm)|20190927||||||||||||||||||||0.0|0.5||||
281|강수량 (mm)|20190928|0.5|0.0||0.0|||0.0|0.0|||||||||||||||||
281|강수량 (mm)|20190929|||||||||||||||||||||||||
281|강수량 (mm)|20190930|||||||||||||||||||||||||
281|강수량 (mm)|20191001||||||||||||0.0|0.4|||||0.0|||0.0||||
281|강수량 (mm)|20191002||0.5|0.5|0.5|0.5|0.5|1.0|0.0|4.0|1.5|3.0|6.5|9.0|7.0|4.0|2.0|3.5|9.0|16.5|9.5|11.0|18.5|11.0|2.0|
281|강수량 (mm)|20191003|1.5|0.5|2.0|0.5|0.0|1.5||0.0|||||||||||||||||
281|강수량 (mm)|20191004|||||||||||||||||||||||||
281|강수량 (mm)|20191005|||||||||||||||||||0.0||||||
281|강수량 (mm)|20191006|||||||||||||||||||||||||
281|강수량 (mm)|20191007||||||0.0|0.5|0.5|0.5|1.0|0.0||||0.0||0.0|1.5|1.0|1.0|0.0|0.0|0.5||
281|강수량 (mm)|20191008|||||||||||||||||||||||||
281|강수량 (mm)|20191009|||||||||||||||||||||||||
281|강수량 (mm)|20191010|||||||||||||||||||||||||
281|강수량 (mm)|20191011|||||||||||||||||||||||||
